['4.6870621643', '3.21868704091', '1.26101122502', '-1.92673136659', '0.402895281348', '-0.7743584189', '0.334228585185']
['3.97557528669', '2.90497299186', '-0.98900355893', '-2.57313925122', '1.27703315282', '-0.10151204198', '3.5991918088']
['3.56708147603', '3.37357596029', '0.172509744397', '0.134016565297', '1.52068243063', '0.927203914532', '0.109443910221']
['3.82001055373', '4.4234574608', '-0.117718703659', '-1.98742481843', '2.52961050469', '-2.02876936931', '1.40124470704']
['4.32203852285', '5.90263169846', '-0.631479459384', '0.499695600741', '2.27077504246', '-1.87258374537', '0.821799765219']
['2.82922050006', '3.95245531419', '0.177282590962', '-1.60889661086', '2.76207655902', '-1.13204065023', '0.1311329393']
['4.88832210748', '2.73697398408', '-0.838533027915', '-1.24573764857', '1.95035860259', '-0.953435337902', '0.793900000437']
['3.06629570712', '4.66021570531', '0.0172845079653', '-1.36543042324', '2.79878140177', '-0.645848524926', '0.277324532866']
['3.80067207156', '5.41628045651', '0.241468019873', '-2.63019778153', '3.26378273619', '-0.237280311293', '0.790711940487']
['3.59351475231', '3.1859966445', '-1.68290710848', '-0.332965847423', '3.56410987588', '0.55527593667', '-1.03645758417']
['3.14947844053', '4.60645045659', '-1.25943448104', '-2.76234285568', '1.67526961676', '-1.71085281453', '-1.02889378303']
['3.90393713308', '3.71635186315', '-0.763554241667', '-2.12194526666', '1.80801605039', '0.273539884514', '0.465607869656']
['4.43352558151', '2.69449108658', '0.424095080098', '0.710491739329', '1.41184272028', '-1.9056276663', '0.412134415636']
['2.38859415101', '3.87045338555', '0.0579072313974', '-2.5852598709', '1.97131320092', '-0.0630136771521', '-1.88757605479']
['3.63090782439', '3.52578364153', '1.59686917497', '-2.07510016713', '-0.561311095702', '-2.66757828239', '1.10084225362']
['3.03996785522', '3.6423865731', '0.725235893408', '-0.80983156029', '1.70436806643', '-1.43791833555', '1.36580283468']
['4.84062752358', '4.99330618639', '0.157017773553', '-2.35670874685', '0.364252595582', '-2.18654892801', '2.29135068873']
['4.65202529803', '5.64703002796', '-0.717029170061', '-0.596369694587', '2.19100671783', '-0.557372878869', '-0.114984752199']
['2.18999657571', '6.06023634719', '0.317681031126', '-0.212048307273', '2.14049745771', '-1.03026566907', '2.32801386597']
['2.37705766835', '1.87903020039', '-0.463501607385', '-3.44489981809', '2.13846157154', '-2.36548273579', '1.95166503678']
['1.8525162676', '4.1498018742', '-3.33686148645', '-2.17742530522', '1.55070020042', '-0.15221635205', '0.954695729945']
['3.50618853672', '5.29290858694', '-0.230335546', '-1.50365632064', '2.02584754445', '-0.863231225731', '1.80054355314']
['4.13202388987', '4.1547107274', '0.239178713768', '-1.87352826023', '2.83951398482', '-0.914659182875', '1.06602147053']
['4.21247847391', '3.43221695773', '-0.141918455903', '-0.904207758111', '0.390722351247', '-1.71619706592', '1.18770707863']
['0.694466844023', '5.6845840005', '-0.592970452721', '0.509067727854', '1.02756139419', '-0.551061571056', '0.598911615918']
['2.34806942948', '4.30576483564', '-0.026655994529', '-0.767940200048', '2.22272663994', '-0.304956909087', '-0.839929856592']
['4.42878466895', '5.50349129507', '-1.12348348072', '-1.99172386863', '1.21175079436', '-0.14890343809', '1.43578470707']
['3.20104582858', '6.00449640391', '-1.65430716391', '-0.44300233848', '2.91404679125', '-1.04750977224', '1.02229174044']
['3.20348340111', '1.76004147984', '-0.78732373687', '-0.992176680833', '1.19914692478', '-0.866184921521', '0.412070847487']
['2.39507137803', '2.8714401701', '0.184512100107', '-2.67555500128', '2.23737195984', '-0.791693729395', '1.28026952247']
['2.22261448736', '3.7272412714', '-1.51442871822', '-2.62740141609', '1.89983687867', '-1.05067160687', '1.89876399579']
['3.38858515919', '3.77215549221', '0.494407819109', '-1.03912131886', '1.38212278586', '0.078085585103', '1.69570880979']
['5.19042410085', '2.61011750726', '0.50626921417', '-2.63131942983', '-0.390010127555', '-0.777286568208', '1.66366786543']
['4.29473511765', '3.30360890996', '-0.322849395969', '-0.254088915011', '3.26775055979', '-1.22112123327', '0.547045925942']
['6.43904738563', '5.20303015887', '0.163295267309', '-3.32771342115', '1.49190845412', '-2.60826787305', '1.37375912472']
['3.85466147462', '4.62965373463', '0.274283499131', '-0.877368945217', '1.54864807319', '0.0434291324946', '0.875515393555']
['5.41194934354', '3.31006061026', '-0.796707788742', '-0.322321476715', '0.0301683126523', '-2.15101453381', '1.9701643036']
['1.4042334245', '4.18887880971', '0.0858550753895', '-0.450023203183', '1.36406343306', '-1.13098813896', '-0.951548351461']
['6.50991659574', '3.90720802821', '-0.141569415924', '-2.0447944504', '3.94793100341', '0.0585052603269', '1.37394463339']
['3.94735840947', '4.96965672995', '-1.2780281049', '-2.22842370637', '1.30362506983', '-1.92967344953', '-0.971088256849']
['2.92536382617', '1.78792982014', '-0.679374251498', '-0.538635855889', '2.51858320072', '-1.22050624493', '-0.211566040837']
['1.49095353543', '3.00350979858', '-1.8719432353', '-1.20634821769', '0.957918530372', '-1.66543788987', '1.86572372133']
['3.98897688012', '4.57331576386', '-1.45341563459', '-1.08887383242', '2.02196711411', '-1.17814254772', '2.39932131333']
['2.75776885094', '6.08838190634', '0.220052621505', '-0.899940108336', '2.74207539793', '-1.84660151186', '1.10194857475']
['3.94305306035', '5.72190758727', '-0.437315022051', '-1.78464298281', '2.89051150405', '-1.59181179095', '-0.141201563162']
['2.7007230918', '4.48813772648', '-1.62098445276', '-0.263469238388', '2.66528272823', '-0.295896067987', '-0.517408625709']
['3.0253853768', '4.10875416835', '-0.00428145447735', '-1.14662294944', '2.18027997095', '-0.442164252512', '2.02373152405']
['3.66238495828', '2.75004394628', '0.593427548929', '-1.7539334798', '1.26427876404', '-0.807939619803', '1.59478527229']
['3.75907006263', '3.82623465833', '0.52573367333', '-0.839862204873', '1.77816749058', '-1.77790697738', '-0.591605728336']
['3.48837346698', '2.28571796284', '-0.91596452875', '0.92264759794', '-0.115654170532', '1.19073337925', '-0.688037245404']
['2.92239283869', '3.34194224137', '-0.594887417909', '-1.5414722047', '1.68016013789', '0.0712673557558', '-0.756971685756']
['1.78637767426', '2.3246562987', '1.36605970921', '-4.46713835145', '0.973049032357', '-1.18142197495', '0.722819144534']
['3.20409090518', '4.74624319057', '-2.60943364486', '-1.01724849252', '1.89717260364', '-0.864202796328', '0.550736200101']
['3.14280198372', '2.94916506982', '1.81452628454', '-2.74351264005', '1.68386590213', '-0.944908013752', '0.793188730177']
['3.79397720546', '2.35375752947', '1.10763074395', '-1.45292964395', '2.03123682881', '-0.308415104552', '0.0951733755784']
['4.30685271945', '4.93090877623', '0.17506496266', '-2.3488023899', '1.82528491369', '-1.7740045681', '0.743420729216']
['2.48194274369', '3.38736441381', '-0.905704063724', '-2.26233633058', '0.701449723452', '1.4215638024', '0.933781183745']
['4.69716061733', '3.89705369964', '-0.24497584359', '-1.28923332677', '0.443790397024', '-1.70495799034', '0.284932335119']
['0.441893521099', '3.31219233', '-0.361004702281', '-0.997195304267', '2.87411972127', '-0.809816410595', '1.52473576526']
['5.74080149533', '4.13447198778', '0.0565159989773', '-2.61826191787', '1.44787296716', '-1.23533493189', '2.74739863114']
['4.60234412802', '2.1686976964', '1.95375338558', '-3.27802111521', '-0.0547283644936', '-2.81996629583', '1.20352784151']
['2.87217411542', '4.82417179844', '-1.34907519575', '-1.87649152237', '2.58635777247', '-2.1118291174', '1.1513565864']
['5.44683120078', '5.09785852873', '-2.08306032384', '-0.889152611637', '1.04734676148', '-0.595945120927', '2.51867895283']
['2.80012916689', '5.6343714201', '-0.287770716031', '-0.186155635269', '4.00063275342', '-0.603472964551', '0.720177716137']
['2.45523137169', '5.2514054887', '1.01850860904', '-1.95392191509', '2.81585063594', '0.244070288398', '-0.227696412306']
['3.11499011211', '3.09886743241', '-0.913463128701', '-0.82957287557', '3.45806354157', '0.89560392689', '-1.3893386943']
['2.60205625506', '4.17497576712', '-2.60080631583', '-0.402461806655', '1.71155769893', '-0.502186331939', '-0.594268573737']
['3.89566138647', '7.26441948224', '-2.38078933446', '-2.93336660409', '1.39323981477', '0.0907433981177', '-1.25176304734']
['3.91213582476', '4.76891196979', '1.21973792159', '-1.26087024968', '0.654487420046', '-1.5746371177', '0.909896604442']
['4.21332271657', '5.65872762252', '-0.923805544634', '-0.754390311603', '3.40513983085', '-1.37498056827', '0.619108954013']
['3.76010590991', '5.20103338929', '-0.90636232564', '-1.89076109296', '2.57564083747', '-1.68096140797', '0.118150930902']
['3.3579351635', '4.47202526052', '-1.32055905274', '-3.11190932672', '2.24371721182', '0.365096621108', '1.14206795063']
